continent,location,SUM(new_deaths),SUM(new_cases),pct_deaths_if_infected
"North America",Anguilla,0,0,NULL
"North America",Aruba,0,0,NULL
"North America",Bermuda,0,0,NULL
"North America","Cayman Islands",0,0,NULL
"North America",Curacao,0,0,NULL
Europe,"Faeroe Islands",0,0,NULL
"South America","Falkland Islands",0,0,NULL
Europe,Gibraltar,0,0,NULL
"North America",Greenland,0,0,NULL
Europe,Guernsey,0,0,NULL
Asia,"Hong Kong",0,0,NULL
Europe,"Isle of Man",0,0,NULL
Europe,Jersey,0,0,NULL
Asia,Macao,0,0,NULL
"North America",Montserrat,0,0,NULL
Oceania,Nauru,0,0,NULL
Asia,"Northern Cyprus",0,0,NULL
Africa,"Saint Helena",0,0,NULL
Oceania,Tonga,0,0,NULL
"North America","Turks and Caicos Islands",0,0,NULL
"North America",Dominica,0,174,0
Asia,Laos,0,757,0
Oceania,"Marshall Islands",0,4,0
Oceania,"Micronesia (country)",0,1,0
"North America","Saint Kitts and Nevis",0,44,0
Oceania,Samoa,0,3,0
Oceania,"Solomon Islands",0,20,0
Europe,Vatican,0,27,0
Asia,Singapore,30,61145,0.049063701038515005
Asia,Bhutan,1,1074,0.0931098696461825
Asia,Timor,3,2276,0.13181019332161686
Africa,Burundi,6,3995,0.1501877346683354
Asia,Qatar,458,205652,0.22270631941337793
Asia,Maldives,73,29835,0.24467906820847996
Africa,Eritrea,10,3671,0.2724053391446472
Asia,"United Arab Emirates",1587,520236,0.3050538601711531
Asia,Mongolia,115,37285,0.3084350274909481
Asia,Thailand,203,65149,0.3115934243042871
Asia,Bahrain,646,176934,0.3651078933387591
Asia,Malaysia,1506,408713,0.368473721168644
Europe,Iceland,29,6472,0.4480840543881335
Europe,Cyprus,308,65233,0.4721536645562829
Africa,Seychelles,28,5873,0.47675804529201427
Asia,Kuwait,1563,273991,0.5704566938330091
"North America","Saint Vincent and the Grenadines",11,1864,0.5901287553648069
Africa,Gabon,139,23075,0.6023835319609968
"North America",Cuba,644,106707,0.6035217933219001
Africa,"Cote d'Ivoire",286,46036,0.6212529324876184
"North America",Grenada,1,160,0.625
Asia,"Sri Lanka",678,108146,0.6269302609435393
Africa,Guinea,144,22215,0.6482106684672518
Europe,Norway,756,112970,0.669204213508011
Asia,Tajikistan,90,13308,0.6762849413886384
Asia,Cambodia,93,13402,0.6939262796597523
Europe,Belarus,2542,358738,0.7085951307082049
Asia,Uzbekistan,649,90808,0.7146947405514932
Asia,Israel,6363,838481,0.758872294065101
Africa,Uganda,342,41866,0.8168919887259352
Africa,Ghana,779,92562,0.8415980640003456
Asia,Kazakhstan,3334,375539,0.8877906156218128
Africa,"Cape Verde",217,23882,0.9086341177455823
Europe,Serbia,6362,689557,0.9226213351470582
Europe,Andorra,125,13232,0.9446795646916566
Africa,Togo,123,12967,0.9485617336315262
Europe,Estonia,1161,122019,0.9514911612125981
Oceania,"Papua New Guinea",107,10997,0.972992634354824
Europe,Denmark,2484,251249,0.9886606513856773
Oceania,"New Zealand",26,2613,0.9950248756218906
Asia,Turkey,40131,3997366,1.003936091916527
Asia,Nepal,3279,323187,1.014582888544403
Asia,Oman,2010,193253,1.040087346638862
Europe,Finland,914,86808,1.0528983503824534
Asia,Taiwan,12,1127,1.064773735581189
"South America",Venezuela,2136,197683,1.0805177986979153
Africa,"South Sudan",115,10583,1.086648398374752
Asia,Palestine,3249,296462,1.0959246041651207
Asia,India,211853,19164969,1.1054179111899425
"North America",Barbados,44,3855,1.1413748378728923
Europe,Netherlands,17398,1522973,1.1423708759117857
Africa,Mozambique,814,69917,1.1642375960066937
Africa,"Burkina Faso",157,13310,1.1795642374154771
Europe,Luxembourg,796,67205,1.1844356818689086
Asia,Vietnam,35,2928,1.1953551912568305
Asia,Jordan,8836,711373,1.2421050559973459
Africa,Nigeria,2063,165110,1.2494700502695173
Africa,Benin,99,7821,1.2658227848101267
"North America","Costa Rica",3231,250991,1.287297154081222
Africa,Djibouti,143,11100,1.2882882882882882
Europe,Monaco,32,2454,1.3039934800325998
"North America","Dominican Republic",3480,266561,1.3055173112345766
"South America",Uruguay,2616,198428,1.3183623278972725
Asia,Georgia,4110,310310,1.3244819696432601
Africa,Namibia,642,48351,1.3277905317366756
Africa,Rwanda,335,25116,1.333811116419812
Asia,Brunei,3,224,1.3392857142857142
Africa,Congo,144,10678,1.3485671474058814
Europe,Malta,413,30292,1.363396276244553
Africa,Zambia,1251,91586,1.3659292905029152
Africa,"Central African Republic",88,6411,1.3726407736702542
Asia,Lebanon,7278,526578,1.382131422125497
Africa,Mauritius,17,1209,1.4061207609594708
Asia,Azerbaijan,4517,319109,1.4155037933746777
Africa,Ethiopia,3688,257442,1.4325556824449779
Europe,Sweden,14048,973604,1.4428864302118725
Asia,Iraq,15465,1065199,1.451841393016704
Africa,"Equatorial Guinea",112,7694,1.4556797504549
Asia,"South Korea",1831,122633,1.493072827053077
Asia,Bangladesh,11450,759132,1.508301586548848
Africa,Botswana,712,46934,1.5170239059104274
Africa,"Sao Tome and Principe",35,2302,1.520417028670721
Africa,Cameroon,1107,72250,1.5321799307958477
Europe,Montenegro,1495,97389,1.5350809639692369
"North America","Trinidad and Tobago",169,10824,1.5613451589061345
Europe,Lithuania,3923,247269,1.586531267566901
Europe,Switzerland,10632,659974,1.6109725534642274
"North America","Saint Lucia",74,4552,1.6256590509666082
Europe,Austria,10205,618870,1.6489731284437765
Asia,Philippines,17234,1037460,1.6611724789389473
Asia,"Saudi Arabia",6957,417363,1.6668942862687874
Asia,Kyrgyzstan,1604,95275,1.6835476252951982
Africa,Libya,3029,177508,1.7064019649818603
"North America",Jamaica,778,45578,1.7069638860853922
"North America",Panama,6232,364576,1.7093829544457124
Oceania,Fiji,2,117,1.7094017094017095
Africa,Kenya,2724,159318,1.7097879712273567
Asia,Japan,10199,593262,1.7191392673051704
Africa,Madagascar,643,37014,1.7371805262873508
Africa,Morocco,9023,511249,1.7648934276644064
Europe,Slovenia,4250,240292,1.7686814375842723
Europe,"San Marino",90,5066,1.7765495459928937
"North America","United States",576232,32346970,1.7814095106898729
Africa,Guinea-Bissau,67,3734,1.7943224424209963
Europe,Czechia,29267,1630758,1.7946868879380018
Europe,Latvia,2131,118558,1.7974324803049984
Europe,Albania,2394,131085,1.826295914864401
Europe,France,104675,5677835,1.8435724180079203
Asia,Armenia,4108,216064,1.9012885071090047
"North America",Bahamas,199,10453,1.9037596862144839
"North America",Haiti,254,13056,1.9454656862745099
Europe,Liechtenstein,57,2926,1.948051948051948
Africa,"Sierra Leone",79,4054,1.9486926492353234
"South America",Suriname,204,10363,1.9685419280131238
Europe,Ireland,4903,248870,1.9701048740306184
"North America",Canada,24220,1228367,1.9717234344458945
Europe,Portugal,16974,836493,2.029186137839767
Europe,Kosovo,2134,103638,2.0590902950655163
Europe,Croatia,7081,332183,2.131656346050219
"South America",Argentina,63865,2977363,2.14501893118172
Europe,Ukraine,45923,2124070,2.162028558380844
Asia,Pakistan,17957,825519,2.1752376383826415
"South America",Chile,26353,1198245,2.199299809304441
Europe,Spain,78216,3524077,2.2194747731108033
"South America",Guyana,296,13283,2.2284122562674096
Africa,Angola,596,26652,2.236229926459553
Asia,Myanmar,3209,142817,2.2469313877199495
Europe,Russia,108290,4750755,2.2794271647348685
"South America",Paraguay,6385,279077,2.2878990386165827
Europe,Moldova,5812,250837,2.317042541570821
Europe,Poland,67502,2792142,2.417570453078676
Europe,Germany,83097,3405365,2.4401789529169413
Europe,Belgium,24230,990229,2.446908745350823
Africa,Mauritania,455,18402,2.4725573307249213
"North America",Honduras,5281,212333,2.487131063000099
"North America",Belize,323,12668,2.549731607199242
Africa,"Democratic Republic of Congo",766,29853,2.5659062740763074
"South America",Colombia,73720,2859724,2.577871151202004
"North America","Antigua and Barbuda",32,1232,2.5974025974025974
"North America",Nicaragua,182,6898,2.638445926355465
Europe,Romania,28109,1055265,2.663691110763647
Africa,Algeria,3253,122108,2.6640351164542864
Asia,Indonesia,45521,1668368,2.728474772951771
Africa,Senegal,1107,40344,2.7439024390243905
"South America",Brazil,403781,14659011,2.754490053933379
Asia,Iran,71758,2499077,2.871380113537918
Europe,"United Kingdom",127775,4432246,2.8828499140165054
Africa,Lesotho,316,10731,2.944739539651477
Africa,Gambia,174,5898,2.950152594099695
Europe,Italy,120807,4022653,3.0031673127162595
Europe,Greece,10381,345033,3.008697718768929
Oceania,Australia,910,29811,3.0525644896179265
Europe,Slovakia,11684,382211,3.0569502185965343
"North America","El Salvador",2124,69198,3.0694528743605307
Europe,"North Macedonia",4855,152367,3.186385503422657
"North America",Guatemala,7524,227671,3.3047687232893077
Africa,Malawi,1148,34078,3.3687422970831626
"South America",Peru,61477,1799445,3.4164422919289006
Africa,"South Africa",54350,1581210,3.4372411001701226
Africa,Tunisia,10722,309119,3.4685671213998495
Africa,Mali,484,13858,3.492567470053399
Africa,Chad,170,4817,3.5291675316587083
Europe,Hungary,27540,779348,3.5337230608149377
Africa,Eswatini,671,18458,3.635280095351609
Africa,Niger,191,5228,3.6534047436878345
Africa,Comoros,146,3834,3.808033385498174
Africa,Liberia,85,2099,4.049547403525489
Europe,Bulgaria,16399,404380,4.0553439833819676
Africa,Zimbabwe,1567,38257,4.0959824345871345
Africa,Tanzania,21,509,4.12573673870334
"South America",Bolivia,12951,303732,4.26395638260045
Europe,"Bosnia and Herzegovina",8551,198461,4.308655101002213
Asia,Afghanistan,2625,59745,4.393673110720562
Asia,China,4828,101946,4.735840543032586
"South America",Ecuador,18631,381862,4.878987697126187
Africa,Somalia,713,13915,5.12396694214876
Africa,Egypt,13339,227552,5.861956827450429
Africa,Sudan,2349,33944,6.920221541362244
Asia,Syria,1592,22733,7.00303523512075
"North America",Mexico,216907,2344755,9.250731952805303
Asia,Yemen,1226,6317,19.407946810194712
Oceania,Vanuatu,1,4,25
